Timestamp,rectus femoris,biceps femoris,vastus internus,semitendinosus
2.899999999999999911e+00,9.206869590064549469e-02,7.740053234183841280e-02,3.412713170191844503e-02,3.382395420392124430e-02
2.900999999999999801e+00,9.163069095108043738e-02,7.772383961586006029e-02,3.371282625864076982e-02,3.392962071169018656e-02
2.902000000000000135e+00,9.118000394111527851e-02,7.803646432080336981e-02,3.330971570386614955e-02,3.402931634593182181e-02
2.903000000000000025e+00,9.071681599522973816e-02,7.833838542214678624e-02,3.291807844782813908e-02,3.412217987786574785e-02
2.903999999999999915e+00,9.024147746255843650e-02,7.862961021651362903e-02,3.253816884238577151e-02,3.420731115007349249e-02
2.904999999999999805e+00,8.975451206350347488e-02,7.891015329942127621e-02,3.217021856900631471e-02,3.428376898483024432e-02
2.906000000000000139e+00,8.925662373179088505e-02,7.918000816623906035e-02,3.181442686783386015e-02,3.435056351326757490e-02
2.907000000000000028e+00,8.874870310040394727e-02,7.943910814755351935e-02,3.147094840490981260e-02,3.440667612930465441e-02
2.907999999999999918e+00,8.823181822455797296e-02,7.968728747876718810e-02,3.113988643095846540e-02,3.445112107543593649e-02
2.908999999999999808e+00,8.770717461713781193e-02,7.992425516204333669e-02,3.082129232981201117e-02,3.448301748358412883e-02
2.910000000000000142e+00,8.717606235376559876e-02,8.014958914530331824e-02,3.051516883211699907e-02,3.450162831963633769e-02
2.911000000000000032e+00,8.663981525773133130e-02,8.036274963797809812e-02,3.022148073708420812e-02,3.450634885953565711e-02
2.911999999999999922e+00,8.609976797191620790e-02,8.056310129731515668e-02,2.994017755030036962e-02,3.449665910768757310e-02
2.912999999999999812e+00,8.555720946328575216e-02,8.074993347688330658e-02,2.967122184037704336e-02,3.447207499993798496e-02
2.914000000000000146e+00,8.501336258646441379e-02,8.092247581008923940e-02,2.941461775426874523e-02,3.443213689394053478e-02
2.915000000000000036e+00,8.446940385291834552e-02,8.107991603196011698e-02,2.917043383850346019e-02,3.437644780507382453e-02
2.915999999999999925e+00,8.392651453126294403e-02,8.122142455705785857e-02,2.893880850310644876e-02,3.430473638375013817e-02
2.916999999999999815e+00,8.338592452621651496e-02,8.134617791639110751e-02,2.871993743901475604e-02,3.421690745443434212e-02
2.918000000000000149e+00,8.284889961759762944e-02,8.145337321912358985e-02,2.851405064624612171e-02,3.411305718244875274e-02
